stage,check,severity,entity,detail,scenario
input,rejected_rows_summary,INFO,duties.contains_rejected_flight,2 rows,(input)
input,rejected_rows_summary,INFO,duties.exceeds_max_duty_hours_day,1 rows,(input)
input,rejected_rows_summary,INFO,flights.arrival_not_after_departure,1 rows,(input)
input,rejected_rows_summary,INFO,flights.conflicting_duplicate_id,1 rows,(input)
input,rejected_rows_summary,INFO,leave.end_before_start,1 rows,(input)
input,rejected_rows_summary,INFO,leave.invalid_date,1 rows,(input)
input,rejected_rows_summary,INFO,leave.unknown_or_rejected_crew,2 rows,(input)
output,overtime_used,INFO,18 pilots,"100.4 overtime hours, £7,579 premium",baseline
output,overtime_used,INFO,14 pilots,"106.9 overtime hours, £8,135 premium",rest_10h_flat
output,overtime_used,INFO,12 pilots,"109.3 overtime hours, £8,120 premium",rest_14h
output,seat_uncovered,WARNING,D20261017-EDI-B737-03:CPT,"1 seat(s) open on 2026-10-17 15:15, needs reserve cover",rest_16h
output,seat_uncovered,WARNING,D20261025-EDI-B737-04:CPT,"1 seat(s) open on 2026-10-25 06:15, needs reserve cover",rest_16h
output,overtime_used,INFO,17 pilots,"83.7 overtime hours, £5,673 premium",rest_16h
output,overtime_used,INFO,15 pilots,"105.3 overtime hours, £7,893 premium",max_50h_7d
output,seat_uncovered,WARNING,D20261017-EDI-B737-01:CPT,"1 seat(s) open on 2026-10-17 05:45, needs reserve cover",max_4_days_7d
output,seat_uncovered,WARNING,D20261018-EDI-B737-02:CPT,"1 seat(s) open on 2026-10-18 10:00, needs reserve cover",max_4_days_7d
output,seat_uncovered,WARNING,D20261020-EDI-B737-02:CPT,"1 seat(s) open on 2026-10-20 10:15, needs reserve cover",max_4_days_7d
output,seat_uncovered,WARNING,D20261021-EDI-B737-03:CPT,"1 seat(s) open on 2026-10-21 15:30, needs reserve cover",max_4_days_7d
output,overtime_used,INFO,15 pilots,"66.8 overtime hours, £4,585 premium",max_4_days_7d
output,available_pilot_unused,WARNING,C0021,"31 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0029,"31 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0031,"31 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0039,"31 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0052,"24 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0064,"31 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0079,"31 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0086,"19 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0089,"31 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0095,"31 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0097,"31 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0103,"24 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0109,"31 available days, no duties. Check eligibility or staffing",cost_only
output,available_pilot_unused,WARNING,C0131,"30 available days, no duties. Check eligibility or staffing",cost_only
output,month_cap_binding,INFO,1 pilots,within 1h of the monthly cap; this rule is limiting the roster,cost_only
output,overtime_used,INFO,43 pilots,"349.2 overtime hours, £15,085 premium",cost_only
output,overtime_used,INFO,23 pilots,"105.8 overtime hours, £7,024 premium",fairness_weight_5
output,overtime_used,INFO,16 pilots,"150.3 overtime hours, £11,893 premium",fairness_weight_80
output,overtime_used,INFO,17 pilots,"155.0 overtime hours, £12,441 premium",fairness_only
output,seat_uncovered,WARNING,D20261009-EDI-B737-02:CPT,"1 seat(s) open on 2026-10-09 11:15, needs reserve cover",sickness_wave_edi_b737
output,seat_uncovered,WARNING,D20261010-EDI-B737-02:CPT,"1 seat(s) open on 2026-10-10 11:30, needs reserve cover",sickness_wave_edi_b737
output,seat_uncovered,WARNING,D20261011-EDI-B737-03:CPT,"1 seat(s) open on 2026-10-11 16:00, needs reserve cover",sickness_wave_edi_b737
output,overtime_used,INFO,18 pilots,"72.4 overtime hours, £5,118 premium",sickness_wave_edi_b737
